,count,mean,std,min,25%,50%,75%,max,mineral
Ca_ss,34289.0,0.4704540402150718,0.18326465123404162,0.0,0.3450473,0.4576444,0.6021278,0.9608105,no Portlandite
Si_ss,34289.0,0.4114658528255881,0.10422905039834154,0.0,0.3435852,0.4219715,0.4913699,0.5999908,no Portlandite
K_ss,34289.0,0.011191198427947333,0.0038222327801620687,0.0,0.008836655,0.01122095,0.01375739,0.02210539,no Portlandite
H2O_ss,34289.0,0.9149755220828453,0.31067618503549743,0.0,0.718737,0.9087131,1.128894,1.711224,no Portlandite
V_s,34289.0,65.63062099448803,6.307021624023397,48.96199,60.84017,65.22198,70.32862,84.13396,no Portlandite
Gel_water,34289.0,0.3484904419375662,0.13253531105124935,0.0,0.2613589,0.3399846,0.4376247,0.7272947,no Portlandite
AltoSi,34289.0,0.11177794635816023,0.03416187978143625,0.05042109315964878,0.0857639078999138,0.108313388187699,0.13188789404516746,0.23136509919413364,no Portlandite
CatoCO2,34289.0,3.8380541241159554,13.498119863865535,1.12681356563985,1.7357113129327637,2.1917765857282303,3.17928784049979,979.8351784928967,no Portlandite
T,1764.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,with AmorfSi
CaO,1764.0,0.9659253990362813,0.050741579944965406,0.9000425,0.9242808,0.95462685,0.9976986999999999,1.149418,with AmorfSi
SiO2,1764.0,0.5068891192176871,0.07065050372705452,0.3010166,0.460879625,0.5219187000000001,0.565103725,0.5999295,with AmorfSi
Al2O3,1764.0,0.046880911893424033,0.011101289382658903,0.03002187,0.037333765000000005,0.045345395,0.0555040125,0.06997503,with AmorfSi
SO3,1764.0,0.03614670569160998,0.008574577077756633,0.02000021,0.0292307175,0.03651149,0.043646285,0.04999214,with AmorfSi
K2O,1764.0,0.008952806736394557,0.0017406590126269575,0.006001499,0.00743264525,0.0089421565,0.01043143,0.01199949,with AmorfSi
CO2,1764.0,0.7347848125283447,0.05116130685698327,0.5354915,0.7059716,0.74626145,0.7752523250000001,0.7999932,with AmorfSi
H2O,1764.0,0.0995105783276644,0.029277609923988063,0.05002468,0.074638815,0.099072055,0.124883875,0.149931,with AmorfSi
pH,1764.0,10.466011558390024,0.11303315159472793,9.260772,10.43661,10.468795,10.50948,10.63112,with AmorfSi
MassWater,1764.0,0.08273429189342403,0.029520487872686487,0.02717282,0.057323849999999996,0.08248338499999999,0.1077193,0.1373174,with AmorfSi
Ca_aq,1764.0,2.4456371535147392e-05,2.7201086108836488e-05,6.336685e-06,1.458095e-05,2.2108975e-05,3.00300175e-05,0.0004529847,with AmorfSi
Si_aq,1764.0,0.001307859772505669,0.0003281788064583326,0.0001299,0.001064526,0.001312489,0.00155165925,0.00211937,with AmorfSi
Al_aq,1764.0,6.242294000566894e-07,1.7570232653207485e-07,1.194511e-07,4.89511225e-07,6.278590500000001e-07,7.6569465e-07,1.027874e-06,with AmorfSi
S_aq,1764.0,0.006879549467687074,0.001600411781807052,0.002952912,0.00556917325,0.0068856025,0.0081465315,0.01186176,with AmorfSi
K_aq,1764.0,0.014956816290249435,0.003385289346845282,0.006417394,0.0122166125,0.01494803,0.0175891525,0.0235802,with AmorfSi
C_aq,1764.0,3.305274039342404e-05,7.793814785888883e-06,7.299112e-06,2.7487525e-05,3.2703555e-05,3.87459875e-05,5.405561e-05,with AmorfSi
O_aq,1764.0,0.031314721587301586,0.006953980332027001,0.01340841,0.0257317725,0.03119108,0.036621429999999996,0.04890236,with AmorfSi
H_aq,1764.0,0.0009768945803968255,0.0002855846345681941,5.398413e-05,0.0007590114999999999,0.000986714,0.0012051455,0.001614273,with AmorfSi
Ca_s,1764.0,0.9659009446145125,0.05074387967658628,0.8996288,0.9242587,0.9546067,0.997670075,1.149383,with AmorfSi
Si_s,1764.0,0.505581259126984,0.07067161013630703,0.2995695,0.45960449999999997,0.5205839,0.5636149,0.5990578,with AmorfSi
Al_s,1764.0,0.09376119968253968,0.02220258131908696,0.06004293,0.0746668375,0.090690355,0.11100760000000001,0.1399494,with AmorfSi
S_s,1764.0,0.029267156139455783,0.008576055877274485,0.01066541,0.022401927500000002,0.029562165,0.03672285,0.04555624,with AmorfSi
K_s,1764.0,0.0029487971800374606,0.0015343176225837277,0.0,0.001835324,0.0028298815,0.00388728325,0.009035568,with AmorfSi
C_s,1764.0,0.7347517598639456,0.05116022529740675,0.5354534,0.7059447,0.74621945,0.775207375,0.7999656,with AmorfSi
O_s,1764.0,4.681908403628118,0.2866801247720309,3.863137,4.4739255,4.683694,4.882867,5.534809,with AmorfSi
H_s,1764.0,2.0108475153061223,0.3391581823140057,1.05614,1.7698550000000002,2.011073,2.259637,2.952373,with AmorfSi
Portlandite,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
AmorfSi,1764.0,0.10154581235901929,0.07724258410337152,1.560151e-05,0.0393391875,0.08644057,0.147287425,0.4127303,with AmorfSi
Gibbsite,1764.0,0.00020317207596371882,0.002953391352802382,0.0,0.0,0.0,0.0,0.06107436,with AmorfSi
Katoite,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Monosulfate,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Gypsum,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Ettringite,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Straetlingite,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Chabazite,1764.0,0.04677901374716553,0.011088989229370242,0.02719486,0.037267322500000005,0.04523885,0.055406375,0.06997472,with AmorfSi
Calcite,1764.0,0.7054846024943311,0.05267333792735086,0.4994122,0.674437925,0.7168854499999999,0.7464691,0.7842618,with AmorfSi
Hemicarbonate,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Monocarbonate,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Thaumasite,1764.0,0.029267156139455783,0.008576055877274485,0.01066541,0.022401927500000002,0.029562165,0.03672285,0.04555624,with AmorfSi
mETss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Al_ET_ss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
Ca_ET_ss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
S_ET_ss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
C_ET_ss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
H2O_ET_ss,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,with AmorfSi
mCSHQ,1764.0,0.023612627028742235,0.011390767345702619,0.0,0.0153123225,0.023269375000000002,0.031846485,0.05328975,with AmorfSi
Ca_ss,1764.0,0.12583585647652948,0.06075922524502104,0.0,0.0814973725,0.12387524999999999,0.169987475,0.2853782,with AmorfSi
Si_ss,1764.0,0.1876522376341219,0.09055800720995598,0.0,0.121629775,0.18498484999999998,0.253283125,0.4243625,with AmorfSi
K_ss,1764.0,0.0029487971800374606,0.0015343176225837277,0.0,0.001835324,0.0028298815,0.00388728325,0.009035568,with AmorfSi
H2O_ss,1764.0,0.285437576955034,0.1377141813204377,0.0,0.185078475,0.28133635,0.38511015,0.6446575,with AmorfSi
V_s,1764.0,60.78848381519274,3.82625244070317,49.63257,58.09767,60.885329999999996,63.537295,72.05329,with AmorfSi
Gel_water,1764.0,0.09620639103016156,0.04647028888522,0.0,0.06227439,0.09468601500000001,0.129897875,0.2186001,with AmorfSi
AltoSi,1764.0,0.09436413615099927,0.026305241794254402,0.05099438981156038,0.07345757468508006,0.0902120252692213,0.11172438792363375,0.2030864630044843,with AmorfSi
CatoCO2,1764.0,1.319682362490522,0.09740621961354196,1.12681356563985,1.2469235273602308,1.312876949409954,1.381213599822337,1.7153164896174822,with AmorfSi
T,48236.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,no AmorfSi
CaO,48236.0,1.1567316466166349,0.14218683114342187,0.9000085,1.0361802500000001,1.1588205,1.2794035,1.399995,no AmorfSi
SiO2,48236.0,0.4479195585330459,0.08642516783440803,0.3000033,0.372954625,0.4468858,0.5223772,0.5999942,no AmorfSi
Al2O3,48236.0,0.050114066677999836,0.011547252120418685,0.0300008,0.0401192225,0.050179415000000005,0.0601196025,0.06999926,no AmorfSi
SO3,48236.0,0.034958063828882995,0.00866067118759678,0.02000073,0.0274510525,0.034935915,0.04245003,0.04999967,no AmorfSi
K2O,48236.0,0.00900172587092628,0.00173174656311511,0.006000068,0.007502426249999999,0.0090024435,0.0105026825,0.0119999,no AmorfSi
CO2,48236.0,0.3882751554696492,0.22542175593234537,0.001004178,0.193706825,0.3864035,0.57931915,0.7999569,no AmorfSi
H2O,48236.0,0.10001800973277221,0.028852886951636944,0.0500004,0.075014145,0.10003880000000001,0.12500519999999998,0.149999,no AmorfSi
pH,48236.0,12.708114398581971,0.5272873314166775,10.44897,12.61494,12.861055,13.01508,13.4799,no AmorfSi
MassWater,48236.0,0.06653574146659925,0.029786911455296192,8.488139e-08,0.041251835,0.06660692,0.09161617,0.1349671,no AmorfSi
Ca_aq,48236.0,9.71681570348007e-05,0.00012537547956590982,9.764647e-11,1.68892175e-05,3.8377215e-05,0.00012797845,0.0007688359,no AmorfSi
Si_aq,48236.0,0.00011256206230222254,0.00024854230385309333,5.87635e-12,2.729414e-06,9.974446999999999e-06,6.7678345e-05,0.001892711,no AmorfSi
Al_aq,48236.0,3.980357325351638e-05,4.8714113957425515e-05,1.662557e-11,2.33422325e-06,1.6290365e-05,6.43537725e-05,0.0002976354,no AmorfSi
S_aq,48236.0,0.0006129263485248232,0.0012906111111873598,1.248673e-09,2.3112492500000002e-05,6.316486e-05,0.0005229659499999999,0.009450474,no AmorfSi
K_aq,48236.0,0.007062280138632574,0.003214784037345762,1.618087e-08,0.004629988,0.006701512,0.00911523325,0.02064504,no AmorfSi
C_aq,48236.0,1.3449169630459535e-05,1.930703487205143e-05,3.377748e-12,1.55785225e-06,3.7270985e-06,1.7629795e-05,0.0001258835,no AmorfSi
O_aq,48236.0,0.008745424624360228,0.005084576091666537,2.02104e-06,0.0054931319999999995,0.00785271,0.0106806625,0.04331623,no AmorfSi
H_aq,48236.0,0.005929216582041312,0.0036830401644681043,1.384471e-08,0.0028016295,0.0055256405,0.008524305749999999,0.01748083,no AmorfSi
Ca_s,48236.0,1.1566344764242473,0.142157344581413,0.8998167,1.03610875,1.1587085,1.279286,1.39999,no AmorfSi
Si_s,48236.0,0.44780699619786046,0.08639599941943149,0.299768,0.372863875,0.4467398,0.522274975,0.5999908,no AmorfSi
Al_s,48236.0,0.10018832969358983,0.02309108987770846,0.05982612,0.08021088999999999,0.1003232,0.1201931,0.1399945,no AmorfSi
S_s,48236.0,0.03434513746392736,0.008731739839553446,0.01156129,0.026837279999999998,0.034300515000000004,0.041848635,0.0499854,no AmorfSi
K_s,48236.0,0.010941171632687206,0.0034522981156683372,0.0005475343,0.00837339625,0.010645125,0.013267275,0.02283857,no AmorfSi
C_s,48236.0,0.38826170632276724,0.22540996378994355,0.001004141,0.19370275,0.38639429999999997,0.5793018750000001,0.79995,no AmorfSi
O_s,48236.0,4.968119206712828,0.478312015745672,3.350146,4.6246515,4.959167,5.3114085,6.461669,no AmorfSi
H_s,48236.0,3.761117659984244,0.7134255968757951,1.415346,3.27063025,3.788939,4.27696025,5.834454,no AmorfSi
Portlandite,48236.0,0.06283517801769581,0.12202898490122663,0.0,0.0,0.0,0.0707814475,0.7343349,no AmorfSi
